season,matchid,team,match_location,final_points_a,outcome,carries_a,metres_made_a,defenders_beaten_a,clean_breaks_a,offloads_a,passes_a,turnovers_conceded_a,turnovers_won_a,kicks_from_hand_a,kick_metres_a,scrums_won_a,rucks_won_a,lineout_throws_lost_a,lineout_throws_won_a,tackles_a,missed_tackles_a,penalties_conceded_a,scrum_pens_conceded_a,lineout_pens_conceded_a,general_play_pens_conceded_a,free_kicks_conceded_a,ruck_maul_tackle_pen_con_a,red_cards_a
22/23,271828,DHL Stormers,away,31,win,78,376,18,7,15,105,12,5,22,977,3,9,4,13,105,16,12,1,0,5,0,3,0
22/23,271829,Edinburgh Rugby,away,17,loss,119,248,10,1,4,130,10,7,16,676,6,7,2,11,141,9,15,2,0,3,0,3,0
22/23,271829,Benetton Rugby,home,24,win,100,191,9,4,6,118,8,9,21,790,11,5,0,10,139,10,13,1,0,6,0,3,1
22/23,271830,Dragons RFC,away,25,loss,88,462,9,2,14,127,13,7,20,922,3,2,1,11,116,25,11,4,2,1,1,1,0
22/23,271830,Emirates Lions,home,33,win,104,328,25,5,10,110,11,4,19,1056,7,8,1,19,78,9,12,1,0,6,1,2,0
22/23,271831,Ospreys,away,26,loss,99,366,18,2,8,105,13,7,27,831,7,9,1,10,113,29,5,3,0,0,0,0,0
22/23,271831,Vodacom Bulls,home,43,win,121,637,29,11,17,155,17,8,21,747,7,1,4,4,117,18,7,1,0,2,1,0,0
22/23,271832,Hollywoodbets Sharks,home,0,loss,97,283,9,2,11,121,20,7,30,1061,3,11,1,15,88,9,15,0,1,1,0,0,0
22/23,271832,Cardiff Rugby,away,35,win,75,216,9,4,2,55,9,12,38,1404,8,5,2,12,98,9,12,0,1,3,0,2,0
22/23,271833,Munster Rugby,home,24,win,100,388,13,4,11,121,15,6,32,1276,4,2,4,13,131,8,10,5,1,0,2,1,0
22/23,271833,Connacht Rugby,away,17,loss,100,282,8,2,4,111,6,9,29,1270,8,4,3,13,99,13,12,1,0,4,1,4,0
22/23,271834,Scarlets,away,19,loss,121,437,13,8,21,177,12,5,19,764,5,4,3,7,111,27,11,2,2,0,0,2,0
22/23,271834,DHL Stormers,home,36,win,109,424,27,4,20,134,12,6,19,924,3,6,2,17,123,13,11,1,0,5,1,3,0
22/23,271835,Glasgow Warriors,away,5,loss,157,548,26,7,25,249,17,5,15,751,7,9,3,12,95,12,13,3,0,3,0,1,0
22/23,271835,Leinster Rugby,home,40,win,87,408,12,3,6,112,14,6,24,1151,7,4,1,14,169,26,15,5,0,3,0,4,0
22/23,271836,Ulster Rugby,home,36,win,122,304,18,4,17,177,11,8,20,772,6,6,3,10,113,18,14,1,1,5,1,5,0
22/23,271836,Zebre Parma,away,15,loss,117,232,18,3,14,154,12,5,18,784,4,7,5,13,133,18,12,3,0,2,0,1,0
22/23,271837,Edinburgh Rugby,home,17,loss,78,285,22,4,2,120,8,6,21,809,7,3,6,12,117,19,12,3,2,2,2,1,0
22/23,271837,Munster Rugby,away,38,win,99,373,19,7,6,121,12,4,23,815,3,4,3,15,88,22,10,3,0,2,0,2,0
22/23,271838,Glasgow Warriors,away,45,win,93,246,12,5,5,131,7,8,23,1010,8,3,5,15,82,11,13,2,0,5,0,2,0
22/23,271838,Zebre Parma,home,17,loss,81,262,11,3,5,92,15,1,19,787,4,3,2,15,106,12,18,5,1,4,2,3,0
22/23,271839,Hollywoodbets Sharks,home,25,win,90,238,20,3,8,101,16,9,18,826,4,5,1,15,92,8,9,2,0,1,1,3,0
22/23,271839,Ospreys,away,10,loss,88,328,8,6,12,91,8,4,25,769,9,9,2,11,102,20,14,1,0,3,0,2,0
22/23,271840,Dragons RFC,away,26,loss,74,335,7,3,10,103,10,7,18,641,7,6,1,9,72,15,14,5,0,2,1,1,0
22/23,271840,DHL Stormers,home,34,win,83,342,15,4,11,126,18,6,18,760,9,6,2,14,68,7,7,1,0,1,1,3,0
22/23,271841,Emirates Lions,home,32,win,97,369,19,4,13,115,15,7,27,1581,7,3,2,11,84,13,8,3,0,0,0,3,0
22/23,271841,Scarlets,away,15,loss,95,520,13,6,11,134,17,7,20,1034,11,4,3,10,102,19,12,3,0,7,2,3,0
22/23,271842,Cardiff Rugby,away,9,loss,93,275,9,1,2,127,12,9,23,794,6,2,1,8,147,13,11,2,1,2,0,2,0
22/23,271842,Vodacom Bulls,home,45,win,137,502,12,9,20,170,17,4,22,746,3,4,1,18,108,9,8,2,0,1,1,3,0
22/23,271843,Benetton Rugby,away,19,loss,136,580,26,7,11,200,16,5,14,524,6,6,2,8,153,20,14,2,2,4,1,2,1
22/23,271843,Connacht Rugby,home,38,win,118,422,20,5,9,167,10,9,23,898,5,4,1,15,169,26,8,1,0,3,1,3,0
22/23,271844,Ulster Rugby,away,29,loss,121,353,14,3,7,144,14,4,30,950,6,4,1,8,164,22,9,1,0,1,0,2,0
22/23,271844,Leinster Rugby,home,38,win,128,324,22,6,5,141,12,12,24,1002,5,2,2,9,137,14,9,1,0,4,0,5,1
22/23,271845,Edinburgh Rugby,away,10,loss,113,375,17,2,6,133,16,5,16,521,5,10,1,12,126,12,13,2,2,0,1,3,0
22/23,271845,Glasgow Warriors,home,16,win,95,234,12,2,6,93,11,9,25,865,6,2,1,14,152,17,10,3,0,2,1,1,0
22/23,271846,Emirates Lions,away,10,loss,68,159,12,1,6,75,13,7,26,909,8,4,3,9,127,27,9,1,0,7,0,2,0
22/23,271846,Hollywoodbets Sharks,home,37,win,117,625,27,9,11,145,21,5,18,503,6,5,2,7,87,12,8,2,0,2,1,0,0
22/23,271847,Vodacom Bulls,away,27,loss,122,315,14,5,7,159,10,3,18,647,5,8,2,13,74,17,16,1,0,8,0,3,0
22/23,271847,DHL Stormers,home,37,win,74,337,17,5,11,102,12,4,18,743,3,1,2,11,164,14,13,2,1,4,1,3,0
22/23,271848,Zebre Parma,away,5,loss,111,350,17,2,14,131,13,6,21,648,8,7,2,9,109,21,17,2,1,5,1,4,0
22/23,271848,Benetton Rugby,home,38,win,120,395,21,8,15,146,16,7,22,973,7,14,3,14,122,17,11,3,1,1,3,0,0
22/23,271849,Dragons RFC,home,24,loss,94,330,17,6,5,137,16,4,25,866,4,11,0,14,139,21,8,1,1,5,0,0,0
22/23,271849,Cardiff Rugby,away,29,win,119,306,21,7,19,129,9,13,22,898,4,6,3,8,118,17,13,1,0,5,0,3,0
22/23,271850,Connacht Rugby,home,20,loss,117,322,17,1,7,151,15,12,21,891,7,5,1,15,178,15,9,1,0,2,1,2,0
22/23,271850,Ulster Rugby,away,22,win,134,404,15,5,6,143,13,7,25,924,4,6,1,16,141,17,14,3,0,5,0,4,0
22/23,271851,Leinster Rugby,away,20,win,115,308,9,5,10,100,10,7,20,762,4,7,1,13,183,8,16,1,2,0,1,2,0
22/23,271851,Munster Rugby,home,19,loss,132,226,8,3,11,167,13,10,21,808,4,3,1,14,139,9,14,2,1,2,1,6,0
22/23,271852,Scarlets,away,14,loss,85,288,5,2,5,98,14,9,20,810,5,7,2,14,97,19,13,6,0,1,1,3,1
22/23,271852,Ospreys,home,34,win,95,496,19,5,10,124,13,8,24,971,12,6,2,10,107,5,8,2,0,2,0,1,0
22/23,271853,Glasgow Warriors,away,32,win,118,428,25,7,6,156,14,6,26,873,7,1,2,9,99,14,8,3,0,1,0,1,0
22/23,271853,Edinburgh Rugby,home,25,loss,92,321,14,1,9,110,16,5,23,882,6,4,2,11,140,25,10,3,0,2,1,0,0
22/23,271854,Vodacom Bulls,away,20,loss,92,250,13,2,13,119,17,5,17,712,2,9,2,13,92,15,20,4,1,4,0,4,1
22/23,271854,Hollywoodbets Sharks,home,47,win,96,461,15,5,13,142,8,11,20,751,6,7,2,13,100,13,14,1,1,2,0,6,0
22/23,271855,Emirates Lions,away,8,loss,107,331,20,5,2,133,14,9,21,990,7,5,2,10,88,19,8,2,0,2,0,0,0
22/23,271855,DHL Stormers,home,40,win,107,657,19,8,16,138,12,8,20,922,7,4,2,11,139,20,12,1,1,3,1,5,0
22/23,271856,Zebre Parma,home,17,loss,93,435,19,3,7,115,19,6,28,901,5,7,2,10,116,22,13,3,0,1,1,2,1
22/23,271856,Benetton Rugby,away,40,win,106,343,22,7,8,135,14,11,30,1281,7,6,3,16,96,19,9,2,0,2,2,3,0
22/23,271857,Dragons RFC,away,17,loss,108,330,15,3,8,138,18,7,18,610,7,3,2,8,85,13,12,6,0,2,1,3,0
22/23,271857,Scarlets,home,33,win,85,270,13,6,11,83,13,8,16,626,9,7,2,8,134,15,12,2,1,5,2,2,1
22/23,271858,Leinster Rugby,home,41,win,143,722,15,8,16,189,8,11,33,1402,3,2,6,12,156,13,9,3,1,0,2,2,0
22/23,271858,Connacht Rugby,away,12,loss,126,437,13,3,2,177,12,2,29,1222,5,6,0,15,147,15,12,0,0,3,0,4,0
22/23,271859,Ulster Rugby,home,14,loss,95,263,14,2,8,118,13,5,24,949,4,4,3,9,285,30,10,1,1,3,0,2,0
22/23,271859,Munster Rugby,away,15,win,200,404,30,4,14,259,6,6,21,767,4,9,3,13,102,14,11,1,0,4,1,2,0
22/23,271860,Cardiff Rugby,home,19,loss,64,213,6,4,2,72,9,7,27,941,8,4,5,6,89,16,18,7,1,2,1,1,0
22/23,271860,Ospreys,away,22,win,87,242,16,4,12,111,15,7,17,914,8,6,1,17,83,6,9,2,0,2,1,3,0
22/23,271861,Dragons RFC,home,14,loss,89,321,10,6,8,101,18,4,23,894,1,10,1,14,134,18,19,8,0,3,2,1,0
22/23,271861,Vodacom Bulls,away,29,win,106,406,18,2,7,116,11,11,28,1018,10,5,2,12,101,10,9,1,1,3,1,0,0
22/23,271862,Glasgow Warriors,home,24,win,115,484,39,10,7,170,14,9,17,623,12,4,1,8,97,18,11,2,0,3,0,4,0
22/23,271862,DHL Stormers,away,17,loss,91,268,18,2,11,113,14,11,16,645,5,4,1,18,134,39,9,5,0,0,1,0,0
22/23,271863,Ulster Rugby,away,29,loss,131,368,14,2,9,193,12,2,21,742,8,6,3,8,101,17,8,2,0,4,0,1,0
22/23,271863,Benetton Rugby,home,31,win,91,294,17,6,3,107,14,5,29,928,5,1,0,8,177,14,8,0,1,3,0,3,0
22/23,271864,Connacht Rugby,home,24,win,93,319,10,4,11,115,12,6,30,1195,10,3,6,10,162,15,11,1,0,2,0,1,0
22/23,271864,Hollywoodbets Sharks,away,12,loss,117,415,15,2,7,117,17,6,25,797,5,3,6,10,96,10,9,1,2,2,1,2,0
22/23,271865,Cardiff Rugby,home,22,loss,96,363,12,6,7,135,14,5,12,621,6,5,2,12,111,38,13,6,0,4,2,2,0
22/23,271865,Scarlets,away,28,win,95,473,38,6,8,117,13,7,18,570,12,8,0,6,109,12,11,3,0,2,1,2,0
22/23,271866,Munster Rugby,home,33,win,172,452,29,5,15,217,9,5,14,589,2,1,2,6,124,10,12,7,0,2,1,2,0
22/23,271866,Emirates Lions,away,3,loss,100,213,10,2,5,121,10,4,16,658,12,5,3,7,202,29,6,0,1,1,0,0,0
22/23,271867,Leinster Rugby,away,24,win,135,570,16,7,14,186,15,6,16,584,7,6,1,13,128,8,14,6,0,2,1,2,0
22/23,271867,Ospreys,home,19,loss,99,304,8,3,5,111,10,8,18,852,10,4,1,12,171,16,8,1,1,1,1,0,0
22/23,271868,Zebre Parma,away,17,loss,91,276,16,6,9,125,11,6,24,910,6,7,2,10,137,18,17,1,3,4,3,3,0
22/23,271868,Edinburgh Rugby,home,24,win,121,325,18,2,4,160,12,10,22,891,6,5,2,19,107,16,10,3,0,2,1,1,0
22/23,271869,DHL Stormers,away,5,loss,150,360,15,2,11,187,18,2,27,848,3,6,3,12,159,21,8,2,0,2,1,2,0
22/23,271869,Ulster Rugby,home,35,win,126,443,21,9,11,154,6,6,33,1149,9,2,2,11,204,15,8,1,0,3,0,2,0
22/23,271870,Ospreys,away,28,win,103,353,25,7,11,140,11,7,24,1002,10,8,2,15,86,15,10,0,0,2,0,2,0
22/23,271870,Zebre Parma,home,24,loss,92,452,15,6,15,125,17,8,20,869,2,3,0,10,123,25,14,6,0,1,2,2,0
22/23,271871,Benetton Rugby,home,30,loss,146,506,24,8,15,195,10,4,22,706,5,5,2,8,164,23,4,0,0,3,0,2,0
22/23,271871,Munster Rugby,away,40,win,135,423,23,6,12,198,10,6,23,775,4,2,1,8,162,24,11,3,0,1,0,0,0
22/23,271872,Glasgow Warriors,away,42,win,104,501,21,8,12,141,7,7,14,615,6,6,3,13,173,10,12,1,0,4,1,2,0
22/23,271872,Dragons RFC,home,28,loss,128,299,10,2,8,147,12,6,11,533,6,5,0,11,122,21,11,2,0,4,1,1,0
22/23,271873,Emirates Lions,away,24,loss,85,324,18,2,1,116,12,7,24,817,3,1,7,11,212,22,8,1,0,4,0,0,0
22/23,271873,Connacht Rugby,home,43,win,167,454,22,7,14,238,13,5,21,983,3,11,1,14,103,18,12,0,0,5,0,3,0
22/23,271874,Scarlets,home,37,win,90,352,13,5,8,102,12,8,25,833,5,4,1,8,190,17,13,4,0,2,1,2,0
22/23,271874,Vodacom Bulls,away,28,loss,146,393,17,3,7,184,15,8,20,728,6,8,1,16,83,13,10,2,0,2,1,1,0
22/23,271875,Hollywoodbets Sharks,away,22,win,93,410,15,6,7,114,10,8,29,996,3,5,3,6,184,25,15,1,1,5,0,4,0
22/23,271875,Edinburgh Rugby,home,19,loss,165,450,25,7,29,171,17,4,24,1079,3,10,4,15,105,15,10,0,1,3,0,3,0
22/23,271876,Leinster Rugby,home,38,win,149,422,28,6,4,176,9,3,29,859,8,7,1,10,108,9,10,5,0,4,2,0,0
22/23,271876,Cardiff Rugby,away,14,loss,96,238,9,1,6,120,14,3,19,664,9,4,2,11,180,28,8,0,0,2,0,1,0
22/23,271877,Glasgow Warriors,home,17,win,137,259,14,1,7,168,12,6,25,839,6,6,1,16,144,7,14,3,0,2,1,3,0
22/23,271877,Ulster Rugby,away,11,loss,103,201,7,1,3,91,11,3,15,714,7,6,4,13,167,14,11,4,0,2,0,1,0
22/23,271878,Ospreys,away,3,loss,85,169,13,2,5,107,14,6,18,579,7,6,5,6,131,23,12,1,2,3,1,3,0
22/23,271878,Munster Rugby,home,58,win,139,701,23,11,17,204,16,6,14,576,7,2,0,16,111,13,8,3,0,0,1,2,0
22/23,271879,Zebre Parma,home,34,loss,103,371,9,4,5,155,13,8,23,960,5,5,6,6,109,10,11,2,0,3,0,2,0
22/23,271879,Connacht Rugby,away,57,win,101,387,10,6,9,129,14,6,25,1023,5,9,1,12,127,9,11,2,1,3,2,2,0
22/23,271880,Edinburgh Rugby,away,14,loss,132,345,30,1,9,161,15,5,19,761,5,8,4,9,66,13,8,1,1,3,1,0,0
22/23,271880,Scarlets,home,42,win,71,492,13,8,15,110,13,10,23,811,7,4,2,5,161,30,10,1,0,6,0,5,0
22/23,271881,Dragons RFC,away,14,loss,155,383,20,5,18,181,20,6,19,719,8,3,3,11,169,28,8,1,1,0,2,3,0
22/23,271881,Leinster Rugby,home,43,win,139,595,28,10,12,157,16,8,21,695,3,5,3,12,192,20,10,3,0,2,1,1,0
22/23,271882,Cardiff Rugby,home,30,win,123,360,9,4,12,166,16,6,25,975,11,5,0,11,130,19,5,1,0,0,0,1,0
22/23,271882,Benetton Rugby,away,13,loss,114,538,19,6,12,155,16,9,15,461,8,6,1,6,146,9,18,7,0,4,1,5,1
22/23,271883,Vodacom Bulls,home,19,loss,132,307,21,4,7,128,13,6,25,798,6,10,0,7,57,15,11,4,0,1,1,0,0
22/23,271883,DHL Stormers,away,23,win,55,243,15,4,8,76,12,11,20,867,7,8,3,10,179,21,11,2,1,4,1,2,0
22/23,271884,Hollywoodbets Sharks,away,29,win,86,351,19,2,6,118,7,6,29,1109,11,5,4,15,90,19,13,0,1,3,1,1,0
22/23,271884,Emirates Lions,home,7,loss,84,369,19,4,9,118,24,3,17,593,0,2,4,12,97,19,10,2,0,2,0,5,0
22/23,271885,Scarlets,away,42,loss,141,487,23,7,14,151,17,9,24,668,6,5,1,9,181,27,7,1,0,2,0,1,0
22/23,271885,Munster Rugby,home,49,win,159,494,27,8,17,211,17,8,23,857,3,4,1,12,153,23,4,1,0,0,0,1,0
22/23,271886,Zebre Parma,away,8,loss,99,345,15,4,10,144,16,5,20,554,6,5,2,9,126,19,18,4,2,4,1,2,0
22/23,271886,Glasgow Warriors,home,50,win,98,292,19,3,6,146,7,10,23,1080,6,7,1,22,126,15,9,1,0,1,1,2,0
22/23,271887,Ulster Rugby,away,42,win,156,544,22,6,7,202,11,6,23,691,10,5,1,11,99,18,10,2,1,1,2,1,0
22/23,271887,Cardiff Rugby,home,20,loss,93,431,18,5,11,145,13,6,17,623,6,1,2,8,201,22,8,3,0,0,1,0,0
22/23,271888,Dragons RFC,home,20,loss,98,357,10,3,6,102,9,6,27,930,6,4,5,9,179,20,15,5,1,4,4,6,1
22/23,271888,Connacht Rugby,away,22,win,123,389,20,3,7,146,11,3,28,960,8,3,3,9,102,10,9,2,0,2,1,4,0
22/23,271889,Leinster Rugby,away,47,win,135,496,29,12,10,169,20,3,15,560,3,4,2,9,174,26,14,6,1,6,3,5,0
22/23,271889,Edinburgh Rugby,home,27,loss,144,361,26,5,10,206,13,8,22,628,9,4,1,10,159,29,8,1,0,0,0,4,0
22/23,271890,Benetton Rugby,away,21,win,79,360,7,6,8,101,13,6,29,1121,6,8,0,14,174,23,17,3,1,5,1,1,0
22/23,271890,Ospreys,home,20,loss,138,447,23,6,13,183,13,8,22,1192,5,8,3,12,74,7,13,1,1,2,0,2,0
22/23,271891,Vodacom Bulls,home,25,loss,99,325,10,3,9,143,17,6,19,726,4,4,0,14,104,15,13,3,2,5,1,5,0
22/23,271891,Emirates Lions,away,29,win,90,354,15,2,8,115,10,8,18,780,11,9,1,11,120,10,8,1,0,3,0,1,0
22/23,271892,Hollywoodbets Sharks,away,23,loss,48,191,9,3,4,70,15,4,23,861,8,3,1,12,51,6,15,7,1,6,0,1,0
22/23,271892,DHL Stormers,home,29,win,61,193,6,6,5,76,16,7,19,713,10,2,2,13,46,9,9,2,0,3,0,3,0
22/23,271893,Benetton Rugby,home,28,loss,106,428,23,7,11,146,13,7,14,464,4,3,3,15,99,28,8,1,0,2,1,4,0
22/23,271893,Emirates Lions,away,32,win,87,291,28,5,7,133,12,7,16,606,6,2,1,11,103,23,9,0,0,0,2,1,0
22/23,271894,Vodacom Bulls,away,23,loss,135,393,16,3,3,158,5,4,19,618,4,7,0,7,79,10,17,3,0,4,0,3,0
22/23,271894,Ulster Rugby,home,32,win,70,253,10,2,5,86,6,0,18,779,4,4,2,15,200,16,8,1,0,2,0,5,0
22/23,271895,Scarlets,home,32,win,91,311,15,5,8,107,12,8,26,931,8,5,0,8,127,20,19,4,0,6,0,3,0
22/23,271895,Hollywoodbets Sharks,away,20,loss,105,324,20,2,9,142,16,6,21,851,6,3,5,15,92,15,12,0,1,3,0,3,0
22/23,271896,Cardiff Rugby,away,34,win,129,303,14,1,7,155,13,8,32,1107,7,8,0,9,103,22,11,0,1,3,0,3,0
22/23,271896,Zebre Parma,home,30,loss,114,406,22,5,10,154,17,9,25,781,1,6,2,15,167,14,10,4,0,2,0,0,0
22/23,271898,Ospreys,home,37,win,118,358,18,8,14,149,9,8,30,966,7,5,2,8,105,4,11,1,1,3,0,2,0
22/23,271898,Dragons RFC,away,18,loss,89,250,4,2,13,111,15,5,20,838,2,4,2,16,124,18,9,3,0,2,1,1,1
22/23,271899,Edinburgh Rugby,away,26,loss,164,528,22,2,10,233,14,1,18,818,3,7,1,16,93,15,12,1,1,3,0,4,0
22/23,271899,Connacht Rugby,home,41,win,82,366,15,4,5,78,6,7,32,1193,7,5,1,8,188,22,11,1,1,3,1,8,0
22/23,271900,Munster Rugby,home,26,loss,146,529,17,5,9,206,12,4,13,489,3,4,5,12,112,16,9,5,1,1,2,0,0
22/23,271900,Glasgow Warriors,away,38,win,96,311,16,6,10,133,9,5,22,774,11,3,0,10,181,17,14,2,1,5,3,3,0
22/23,271901,Benetton Rugby,away,33,loss,90,361,18,7,6,125,16,3,18,663,5,6,2,14,124,22,12,3,0,3,0,2,0
22/23,271901,Hollywoodbets Sharks,home,43,win,110,392,22,8,6,148,12,12,23,750,9,1,2,10,92,18,8,2,0,2,1,1,0
22/23,271902,Connacht Rugby,home,38,win,107,405,17,4,11,142,10,8,26,953,5,2,1,14,201,19,8,2,0,2,0,2,0
22/23,271902,Cardiff Rugby,away,19,loss,141,474,19,4,9,207,10,4,18,735,4,9,4,14,115,17,9,3,0,2,0,1,0
22/23,271903,Scarlets,away,9,loss,68,266,9,3,3,78,12,3,19,816,8,3,3,5,115,21,14,5,0,3,2,1,0
22/23,271903,Glasgow Warriors,home,12,win,88,272,21,2,3,112,14,7,21,754,15,7,4,12,83,9,8,3,0,3,1,2,0
22/23,271904,Vodacom Bulls,home,78,win,158,609,27,11,23,210,14,7,23,743,7,4,0,12,84,7,8,2,1,1,1,2,0
22/23,271904,Zebre Parma,away,12,loss,78,134,7,1,7,96,14,4,16,606,5,3,5,6,145,27,8,4,0,4,0,2,0
22/23,271905,Leinster Rugby,away,39,win,80,318,18,5,5,111,7,5,22,816,7,2,1,12,117,22,10,1,0,2,1,1,0
22/23,271905,Emirates Lions,home,36,loss,109,407,22,7,8,138,11,3,19,734,6,2,1,15,102,18,7,0,1,3,1,2,0
22/23,271906,Edinburgh Rugby,home,45,win,85,399,20,7,5,97,10,11,15,939,7,7,5,16,79,19,13,4,0,2,0,2,0
22/23,271906,Ospreys,away,21,loss,82,375,19,3,5,114,17,6,11,570,7,5,1,11,86,20,18,4,2,2,0,4,0
22/23,271907,Munster Rugby,away,26,win,100,247,21,3,11,117,10,5,26,902,3,2,0,9,152,25,14,2,1,4,1,3,0
22/23,271907,DHL Stormers,home,24,loss,130,451,25,6,19,167,10,4,23,795,10,6,3,13,99,21,7,0,0,3,0,2,0
22/23,271908,Ulster Rugby,home,40,win,125,587,18,8,13,175,12,10,23,716,7,6,2,13,118,21,6,1,0,1,1,1,0
22/23,271908,Dragons RFC,away,19,loss,105,374,21,4,4,160,13,6,21,619,5,7,1,17,118,18,13,3,0,1,2,3,0
22/23,271909,Benetton Rugby,away,22,loss,116,393,30,3,7,123,10,4,34,1276,8,4,2,13,119,20,12,0,0,7,0,3,0
22/23,271909,DHL Stormers,home,38,win,128,476,20,3,19,155,14,5,31,1174,0,6,2,17,122,30,9,2,0,3,0,1,0
22/23,271910,Glasgow Warriors,home,29,win,167,396,24,4,12,235,10,6,18,736,11,6,4,13,72,11,10,3,0,0,0,2,0
22/23,271910,Connacht Rugby,away,27,loss,57,211,11,2,2,67,11,7,16,646,5,4,3,5,229,24,13,7,0,4,1,4,0
22/23,271911,Zebre Parma,away,35,loss,76,314,11,5,8,86,12,9,19,794,10,3,2,10,110,34,11,2,0,1,0,1,0
22/23,271911,Emirates Lions,home,50,win,114,715,34,13,21,161,18,6,14,596,5,2,0,13,70,11,7,1,0,4,0,2,0
22/23,271912,Leinster Rugby,away,7,loss,59,173,8,2,6,84,13,10,19,767,5,4,3,5,186,31,14,3,0,9,1,2,0
22/23,271912,Vodacom Bulls,home,62,win,169,759,31,18,23,228,13,7,28,1075,8,3,1,16,62,8,7,2,1,1,1,0,0
22/23,271913,Cardiff Rugby,away,38,win,125,407,17,6,14,177,14,9,18,772,9,3,1,10,120,18,11,4,0,2,0,1,0
22/23,271913,Ospreys,home,21,loss,115,345,18,1,13,162,12,8,16,622,5,8,1,13,148,17,15,3,0,2,0,3,0
22/23,271914,Dragons RFC,home,31,win,99,256,21,2,14,109,8,5,21,776,4,4,1,15,162,20,14,3,0,6,0,1,0
22/23,271914,Scarlets,away,14,loss,118,267,20,2,8,148,10,5,14,573,8,3,3,13,101,21,14,2,0,3,1,3,0
22/23,271916,Ulster Rugby,home,28,win,145,423,16,3,6,190,20,7,17,547,8,5,1,14,135,26,6,4,0,1,1,0,0
22/23,271916,Edinburgh Rugby,away,14,loss,117,416,26,3,12,159,17,11,19,650,7,6,2,8,185,16,12,2,0,0,0,1,0
23/24,276139,Ulster Rugby,away,40,win,87,356,12,7,10,125,9,2,26,1047,2,4,1,12,108,13,13,6,1,2,0,1,0
23/24,276139,Zebre Parma,home,36,loss,108,386,13,2,7,125,6,2,29,1114,8,6,0,17,88,12,6,0,1,3,0,1,0
23/24,276140,Connacht Rugby,home,34,win,135,525,17,11,7,210,13,9,20,724,4,4,1,11,168,15,13,2,1,1,1,2,0
23/24,276140,Ospreys,away,26,loss,137,346,15,2,5,192,10,6,22,784,6,8,4,10,154,17,8,2,0,0,0,2,0
23/24,276141,Dragons RFC,home,17,loss,81,265,7,5,11,108,12,6,25,993,4,8,1,13,98,18,19,3,1,4,1,3,0
23/24,276141,Edinburgh Rugby,away,22,win,94,312,18,5,9,136,9,7,25,1158,10,5,1,18,73,7,10,1,0,1,1,3,0
23/24,276142,Emirates Lions,home,33,loss,96,308,20,7,11,140,14,3,16,972,7,3,0,19,59,17,11,4,0,4,1,1,0
23/24,276142,DHL Stormers,away,35,win,70,391,17,5,9,80,10,3,23,798,5,2,0,11,125,20,11,5,0,2,1,1,0
23/24,276143,Benetton Rugby,away,23,win,135,436,18,4,3,159,13,8,33,944,5,7,0,14,130,18,16,3,0,3,1,2,0
23/24,276143,Cardiff Rugby,home,22,loss,126,230,18,2,10,156,12,10,31,1181,5,7,0,12,146,18,10,3,0,3,1,2,1
23/24,276144,Munster Rugby,home,34,win,125,402,16,7,11,173,10,8,25,863,6,5,3,14,139,29,6,2,0,1,1,3,0
23/24,276144,Hollywoodbets Sharks,away,21,loss,125,412,29,6,8,186,13,6,17,670,6,7,0,13,152,16,12,1,1,2,0,3,0
23/24,276145,Vodacom Bulls,home,63,win,121,661,19,10,18,144,14,5,22,731,6,5,1,14,89,9,10,3,0,2,2,2,0
23/24,276145,Scarlets,away,21,loss,84,286,9,7,12,110,13,6,13,576,7,4,3,6,106,19,11,3,0,3,0,2,0
23/24,276146,Glasgow Warriors,home,43,win,119,449,31,9,13,160,7,8,14,607,9,5,4,12,189,18,15,1,0,1,0,4,0
23/24,276146,Leinster Rugby,away,25,loss,141,428,18,1,4,165,13,5,10,552,5,5,0,10,123,31,15,5,0,1,1,5,0
23/24,276147,Zebre Parma,away,31,loss,84,231,16,6,6,94,16,5,25,988,6,2,0,13,112,16,13,4,0,4,0,1,0
23/24,276147,Ospreys,home,34,win,109,443,16,8,5,148,11,7,28,1036,9,3,2,13,92,16,7,2,0,1,0,0,0
23/24,276148,Connacht Rugby,home,34,win,112,429,11,6,7,171,12,12,21,802,6,3,2,6,187,30,12,3,1,3,2,1,0
23/24,276148,Glasgow Warriors,away,26,loss,156,486,30,6,15,237,20,8,12,580,5,6,2,13,128,11,13,3,0,4,1,2,0
23/24,276149,DHL Stormers,home,52,win,132,658,26,13,24,172,20,7,26,858,8,4,2,11,116,15,9,2,0,5,1,2,0
23/24,276149,Scarlets,away,7,loss,113,210,15,2,12,133,11,6,23,746,8,8,3,8,115,26,12,5,1,5,1,0,0
23/24,276150,Hollywoodbets Sharks,away,13,loss,101,501,23,5,11,120,20,7,33,1093,9,8,0,7,129,17,12,1,1,3,0,2,0
23/24,276150,Leinster Rugby,home,34,win,120,518,17,8,3,173,18,11,30,1437,6,8,3,16,88,23,8,0,1,2,1,1,0
23/24,276151,Emirates Lions,away,16,loss,135,391,22,3,7,158,9,9,21,789,5,5,1,12,80,21,12,3,1,0,2,2,0
23/24,276151,Edinburgh Rugby,home,17,win,86,425,21,8,9,114,11,6,18,687,5,6,5,12,177,22,13,3,1,2,1,3,0
23/24,276153,Cardiff Rugby,away,16,win,104,444,17,6,7,106,11,7,42,1302,5,5,2,6,126,13,11,4,1,1,2,1,0
