season,matchid,team,match_location,final_points_a,outcome,carries_a,metres_made_a,defenders_beaten_a,clean_breaks_a,offloads_a,passes_a,turnovers_conceded_a,turnovers_won_a,kicks_from_hand_a,kick_metres_a,scrums_won_a,rucks_won_a,lineout_throws_lost_a,lineout_throws_won_a,tackles_a,missed_tackles_a,penalties_conceded_a,scrum_pens_conceded_a,lineout_pens_conceded_a,general_play_pens_conceded_a,free_kicks_conceded_a,ruck_maul_tackle_pen_con_a,red_cards_a
21/22,268140,Benetton Rugby,away,10,loss,107,266,13,3,17,127,15,8,17,739,6,8,0,13,105,25,15,1,1,4,0,5,0
21/22,268140,Edinburgh Rugby,home,24,win,103,398,24,7,12,127,13,10,19,751,5,8,3,14,135,13,13,2,1,2,1,1,0
21/22,268141,Leinster Rugby,home,47,win,103,480,20,7,7,129,17,6,23,930,4,3,0,13,193,23,14,4,0,5,2,3,0
21/22,268141,Connacht Rugby,away,19,loss,157,406,23,5,16,190,12,6,20,886,6,7,0,14,122,21,12,2,1,2,1,2,0
21/22,268142,Zebre Parma,away,6,loss,88,261,13,1,9,78,12,9,23,752,10,8,4,8,132,15,16,2,0,5,0,2,0
21/22,268142,Hollywoodbets Sharks,home,38,win,113,528,15,9,17,161,20,9,17,705,3,5,2,19,88,13,14,2,2,3,1,2,0
21/22,268143,Ospreys,home,19,win,77,140,8,1,5,93,6,10,25,830,9,10,1,7,233,18,12,0,0,3,0,4,0
21/22,268143,Ulster Rugby,away,13,loss,181,432,18,3,17,219,12,5,21,592,2,12,1,18,96,8,13,5,0,1,1,3,0
21/22,268144,Emirates Lions,home,23,win,88,285,16,5,8,119,11,8,20,995,4,7,2,13,147,9,6,2,0,1,0,0,0
21/22,268144,Munster Rugby,away,21,loss,142,304,9,1,23,169,10,7,18,667,4,8,1,9,99,16,12,3,0,2,0,1,0
21/22,268145,Glasgow Warriors,home,33,win,136,570,25,11,12,147,13,4,21,835,4,6,3,16,130,9,13,1,1,3,2,0,0
21/22,268145,Dragons RFC,away,14,loss,99,267,9,2,4,111,8,8,25,877,4,2,2,11,159,25,11,0,1,4,0,0,0
21/22,268146,Cardiff Rugby,away,3,loss,41,113,10,0,0,40,12,9,24,839,14,6,1,9,89,19,13,3,0,4,1,3,0
21/22,268146,DHL Stormers,home,40,win,99,506,19,9,15,128,19,6,20,790,5,4,4,16,50,10,5,2,0,2,1,0,0
21/22,268147,Benetton Rugby,away,39,win,93,434,25,7,13,109,15,12,28,1000,3,4,5,11,119,9,14,5,1,1,3,1,0
21/22,268147,Zebre Parma,home,14,loss,98,424,9,2,7,124,14,7,18,810,5,7,6,10,84,25,16,1,1,2,1,3,0
21/22,268148,Cardiff Rugby,home,14,loss,94,321,17,4,11,127,13,6,15,693,8,8,4,4,152,18,13,1,1,0,0,1,0
21/22,268148,Scarlets,away,49,win,154,407,18,7,17,169,10,9,24,955,8,3,2,13,78,17,6,1,0,2,0,2,0
21/22,268149,Ulster Rugby,home,32,win,128,448,32,8,9,183,13,9,23,626,9,11,3,11,121,19,9,1,0,1,1,1,0
21/22,268149,Connacht Rugby,away,12,loss,98,254,19,3,3,133,14,10,18,662,7,10,0,14,140,32,15,1,0,5,0,4,0
21/22,268150,Ospreys,home,50,win,113,407,19,4,12,167,15,7,32,976,3,4,0,10,118,15,9,1,0,2,0,2,0
21/22,268150,Dragons RFC,away,31,loss,107,350,15,4,8,149,15,4,25,1007,5,8,5,12,134,19,11,3,0,2,0,2,0
21/22,268151,Leinster Rugby,away,34,win,134,328,7,3,6,198,6,6,29,1253,5,2,1,12,154,8,11,0,0,6,0,4,0
21/22,268151,Munster Rugby,home,19,loss,112,261,8,1,6,137,12,3,26,974,5,4,1,4,191,7,8,0,0,4,0,5,0
21/22,268152,Edinburgh Rugby,away,17,loss,110,283,11,2,6,107,13,7,14,738,3,6,1,16,141,14,13,2,0,2,1,2,0
21/22,268152,Glasgow Warriors,home,30,win,103,295,14,3,8,112,4,7,20,1026,6,5,2,7,168,11,13,1,1,2,1,1,0
21/22,268153,Cardiff Rugby,away,19,win,93,342,10,4,5,116,6,10,24,765,4,4,1,8,103,16,14,4,0,2,1,0,1
21/22,268153,Dragons RFC,home,18,loss,88,240,16,2,6,112,14,6,19,899,6,6,1,16,85,10,11,1,0,3,0,2,1
21/22,268154,Munster Rugby,away,8,loss,64,201,3,2,1,45,9,10,28,931,3,2,1,8,139,13,19,1,1,2,1,2,0
21/22,268154,Connacht Rugby,home,10,win,131,372,13,5,12,167,10,4,22,750,7,5,3,20,80,3,14,1,0,4,1,2,0
21/22,268155,Ospreys,away,19,loss,90,247,14,4,12,116,13,8,23,898,5,10,1,12,138,15,10,0,0,4,0,1,0
21/22,268155,Scarlets,home,22,win,142,328,15,7,19,180,17,7,26,912,4,8,4,13,105,14,13,3,2,3,2,0,0
21/22,268156,Leinster Rugby,away,13,loss,147,257,9,2,3,137,10,5,42,1607,5,3,4,10,133,12,11,1,2,2,2,1,0
21/22,268156,Ulster Rugby,home,18,win,99,262,12,2,5,98,8,6,41,1501,7,6,3,10,211,9,9,0,0,5,1,3,0
21/22,268157,Benetton Rugby,home,39,win,85,419,19,8,7,88,10,5,31,1063,2,5,0,15,66,10,14,2,0,4,1,2,0
21/22,268157,Zebre Parma,away,17,loss,72,257,10,3,10,100,12,4,20,897,6,6,0,17,82,19,13,3,0,3,1,0,0
21/22,268158,Edinburgh Rugby,home,28,win,104,389,18,7,8,124,5,9,29,788,3,4,0,12,167,17,11,1,1,2,1,3,0
21/22,268158,Glasgow Warriors,away,11,loss,127,361,17,3,10,180,13,6,14,541,2,6,0,11,133,18,13,1,0,4,0,2,0
21/22,268159,Emirates Lions,away,13,loss,111,409,23,4,6,116,18,10,22,1037,5,4,1,14,144,17,9,2,0,2,1,4,0
21/22,268159,Leinster Rugby,home,21,win,141,474,17,6,19,220,16,8,23,1056,5,7,1,16,127,23,13,3,1,1,0,3,0
21/22,268160,Hollywoodbets Sharks,away,29,win,115,386,27,7,15,150,20,3,28,980,7,6,3,12,112,20,6,1,0,1,1,0,0
21/22,268160,Benetton Rugby,home,7,loss,95,254,20,3,5,138,10,6,30,1252,11,5,0,10,132,27,10,0,0,0,0,0,0
21/22,268161,Zebre Parma,home,7,loss,68,252,11,2,3,86,12,10,26,1084,8,5,3,7,148,21,13,3,2,2,1,0,0
21/22,268161,Vodacom Bulls,away,45,win,124,482,21,5,16,158,19,4,23,1156,8,4,4,17,90,11,7,4,0,1,1,1,0
21/22,268162,Edinburgh Rugby,home,34,win,140,724,44,12,22,210,19,8,12,549,9,10,0,15,131,20,11,2,1,1,0,1,0
21/22,268162,Cardiff Rugby,away,10,loss,122,425,20,4,4,139,16,11,22,618,8,6,0,9,116,44,11,1,1,3,0,0,0
