kpi,n,acc_abs,acc_rel,acc_improvement,auc_abs,auc_rel,auc_improvement,sport,kappa,rho,eta,quadrant,tau,abs_tau,psi,cos_sigma,sigma,sphere_x,sphere_y,sphere_z,eta_from_sigma,eta_sigma_residual,delta_ml_pred,residual
shots,1114,0.5754039497307,0.566427289048474,-1.56006240249611,0.573880946801031,0.578782907585345,0.85417730134424,football,0.813814009388614,-0.284782030016349,0.779254553103234,Q3,-0.103011714390961,0.103011714390961,-1.18652618106434,-0.283277712036059,1.8580064277451,-0.283277712036059,0.95352868006766,-0.102648887729202,0.779254553103234,0,-0.0473175934168601,3.1716969391899
shots_inside_box,1114,0.562836624775583,0.580789946140036,3.18979266347687,0.589823711689191,0.596294560320808,1.09708180654277,football,0.80760737936891,-0.226871082978975,0.81593862369428,Q3,-0.106839627589709,0.106839627589709,-1.03289913336085,-0.225582379557368,1.79833710972775,-0.225582379557368,0.968392580075325,-0.106434960836606,0.81593862369428,0,-0.040055167523506,7.19530941582746
shots_outside_box,1114,0.540394973070018,0.53770197486535,-0.498338870431889,0.458398432414134,0.462343436710674,0.860605974536866,football,0.755105072608852,-0.132041989426926,0.884368562884764,Q3,-0.140449185198937,0.140449185198937,-0.75743709449421,-0.130750279881108,1.70192204536392,-0.130750279881108,0.981547212245286,-0.139532915272775,0.884368562884764,1.11022302462516e-16,-0.0258677702817744,2.08843815774555
penalties,1114,0.591561938958707,0.591561938958707,0,0.519519959378174,0.535648256646616,3.1044615278587,football,0.719648804117471,-0.0402093051173868,0.96184240234816,Q3,-0.164495979015297,0.164495979015297,-0.403750212734524,-0.0396713615023474,1.61047810158382,-0.0396713615023474,0.985823513203284,-0.163028169014083,0.96184240234816,-1.11022302462516e-16,-0.0087992936495188,0.87992936495188
big_chances,1114,0.654398563734291,0.671454219030521,2.60631001371742,0.662965783923131,0.723127099445356,9.0745732255166,football,0.750461737047431,-0.0373207855006724,0.964376305483874,Q3,-0.143533306244775,0.143533306244775,-0.38923452599936,-0.0369396202639512,1.60774435312569,-0.0369396202639513,0.989097236170999,-0.142555679836496,0.964376305483874,0,-0.00822299927939652,3.42860994165707
corners,1114,0.531418312387792,0.531418312387792,0,0.511743874176497,0.498440877014817,-2.59954204299707,football,0.747280799304049,-0.278975894591296,0.783672984973207,Q3,-0.145657130900118,0.145657130900118,-1.16753249528309,-0.276042455430805,1.85047045749209,-0.276042455430805,0.95020054404736,-0.144635710983953,0.783672984973207,-1.11022302462516e-16,-0.0464555549249637,4.64555549249637
free_kicks,1114,0.549371633752244,0.549371633752244,0,0.452233549462282,0.444991276723173,-1.60144525936216,football,0.881245428826023,-0.0173454451950408,0.982983715004345,Q3,-0.0632095560084435,0.0632095560084435,-0.264675786520385,-0.0173108513761894,1.5881080428654,-0.0173108513761895,0.997855452864577,-0.0631255068341001,0.982983715004345,0,-0.00395604038698347,0.395604038698347
set_pieces,1114,0.560143626570916,0.552962298025135,-1.28205128205129,0.585572741712887,0.562592766190141,-3.92435881757847,football,1.04128168010571,-0.125398763807377,0.888594177355996,Q4,0.0202261695537973,0.0202261695537973,-0.740203401610646,-0.125373117991265,1.69650023446781,-0.125373117991265,0.991903520962876,0.0202234118436679,0.888594177355996,1.11022302462516e-16,-0.0249643605973071,1.21438477767942
sp_goals,1114,0.629263913824057,0.636445242369838,1.14122681883025,0.579329739864073,0.635292164674635,9.65985706580367,football,0.791265374979542,-0.0364510835839528,0.96506209600293,Q3,-0.117060937229385,0.117060937229385,-0.385235025231894,-0.036202752280682,1.60700699186815,-0.036202752280682,0.992527238306251,-0.116529146343178,0.96506209600293,0,-0.00806683105023629,1.94790992385388
sp_xg,1114,0.547576301615799,0.543985637342908,-0.655737704918047,0.493398953206781,0.495150118480327,0.354918724931383,football,0.847100829991018,-0.07927303880796,0.926783221683414,Q3,-0.0829677738711168,0.0829677738711168,-0.577689384543393,-0.0790009752049613,1.64987970986421,-0.0790009752049612,0.993431759812723,-0.0827779228542306,0.926783221683414,1.11022302462516e-16,-0.0166556241262727,1.00982470770922
sp_shots,1114,0.549371633752244,0.547576301615799,-0.326797385620912,0.474569044085098,0.482208421217092,1.60975040981076,football,0.691854250088635,-0.119605891176275,0.894770266444546,Q3,-0.184189983403719,0.184189983403719,-0.714832804593341,-0.11760530887285,1.6886744370129,-0.11760530887285,0.976215068405901,-0.182134926749879,0.894770266444546,0,-0.0236382342346266,2.03702603784175
shots_on_target,1114,0.644524236983842,0.696588868940754,8.07799442896936,0.705081634247324,0.751822774262427,6.62918132380504,football,0.782524936395718,-0.0701789186802245,0.934881174145851,Q3,-0.122614744738614,0.122614744738614,-0.540638092971954,-0.0696546552171667,1.6405074300813,-0.0696546552171666,0.990082455089119,-0.122003938999035,0.934881174145851,-1.11022302462516e-16,-0.0148604041780955,9.56403484677891
np_shots_on_target,1114,0.636445242369838,0.691202872531418,8.60366713681241,0.693679530245033,0.742201130120043,6.99481500598271,football,0.784181699804032,-0.0685316932302665,0.936304625181953,Q3,-0.121557262764898,0.121557262764898,-0.533981884140506,-0.0680284739655848,1.63887738152867,-0.0680284739655847,0.990323334020905,-0.120962063572153,0.936304625181953,0,-0.0145436357386072,10.0580307106731
op_goals,1114,0.75673249551167,0.858168761220826,13.4045077105575,0.803664427258287,0.906358227221832,12.778194042243,football,0.714202045864814,-0.0689955700994052,0.936303387872139,Q3,-0.168294689635703,0.168294689635703,-0.533987690377547,-0.0680298853479734,1.63887879618836,-0.0680298853479734,0.983653990189912,-0.166723610454566,0.936303387872139,0,-0.0145439112406249,14.85889883462
