sport,kpi,n,var_home,var_away,mean_home,mean_away,cohens_d_paired,kappa,rho,eta,kappa_abs,quadrant,p_rho,sig_rho
rugby,tackles,564,1464.65423327413,1358.8789539322,124.166666666667,130.276595744681,-0.109497315899063,0.927781399227945,-0.102810559020411,0.90683339571119,1.07784010417988,Q3,0.014578886384953,1
rugby,missed_tackles,564,46.2231554614968,59.5895468803144,17.0975177304965,19.4148936170213,-0.225738426070037,1.28917089898702,0.00406735466799002,1.00405111800655,1.28917089898702,Q1,0.923218443654626,0
rugby,penalties_conceded,564,10.3160972752352,10.5422571583336,10.8882978723404,11.9645390070922,-0.234352911288429,1.02192300800045,-0.0111106989546976,0.989012031007743,1.02192300800045,Q4,0.792329221489048,0
rugby,scrum_pens_conceded,564,2.83792184724689,2.7396136452389,2.25,2.39184397163121,-0.0575285831008393,0.965359087635426,-0.0899777617506264,0.91746167586004,1.03588396567481,Q3,0.0326429361217168,1
rugby,lineout_pens_conceded,564,0.41130972626381,0.521849766322764,0.421985815602837,0.453900709219858,-0.033162819881588,1.26875133992833,0.0075589252743747,1.00756246514601,1.26875133992833,Q1,0.857844403601719,0
rugby,general_play_pens_conceded,564,2.58882569315848,3.09228361236033,2.55141843971631,3.00886524822695,-0.194445348126795,1.19447347132422,0.0258910592116858,1.02647188024208,1.19447347132422,Q1,0.539468246854508,0
rugby,free_kicks_conceded,564,0.607343511835029,0.559121600342643,0.693262411347518,0.647163120567376,0.0444043122314798,0.920601915468417,0.0760768072964836,1.08226486985589,1.08624583894243,Q2,0.0710226357095953,0
rugby,ruck_maul_tackle_pen_con,564,2.17225350515854,2.20317637277503,1.95744680851064,2.09042553191489,-0.065380634790103,1.01423538622129,0.0545366482195917,1.05768093235919,1.01423538622129,Q1,0.195920184658779,0
rugby,red_cards,564,0.0567501858080446,0.0488612171371704,0.0602836879432624,0.0514184397163121,0.0283751933441483,0.860987791342952,0.0759539628227761,1.08194870140345,1.16145665485015,Q2,0.0714810655284466,0
football,goals,2227,1.46568960293321,1.15408381413922,1.41490794791199,1.10597215985631,0.18681554875849,0.787399877729643,-0.0441842775186887,0.957973131625294,1.27000273721576,Q3,0.0370736356089209,1
football,np_goals,2227,1.38369661561873,1.06745927522672,1.33228558599012,1.05118994162551,0.173662747577547,0.771454712816078,-0.0694481340736945,0.935569459052013,1.29625237021322,Q3,0.00104008223307942,1
football,xg,2227,0.532341227353404,0.438329200388945,1.30137214589133,1.05536163947014,0.238052618183057,0.823398936370473,-0.100718970792087,0.908888091878141,1.21447812940831,Q3,1.91223426820204e-06,1
football,np_xg,2227,0.445627014553998,0.363068180896639,1.2179911480467,0.994145194881006,0.232160325535878,0.81473557266274,-0.150361425673634,0.869886070217304,1.22739209327975,Q3,9.86904623921939e-13,1
football,penalty_xg,2227,0.0727430830936873,0.0602303623892599,0.0833810058374494,0.0612164346654692,0.0683591001852074,0.827987484551459,0.210325500345571,1.26484972413696,1.20774772403924,Q2,1.09881445507923e-23,1
football,np_shots,2227,23.8460335884317,19.7272605138844,13.1284238886394,10.6466097889538,0.334844703646592,0.827276387107605,-0.261929347855258,0.793174541540911,1.2087858611513,Q3,2.93677827667426e-36,1
football,own_goals,2227,0.0444507919832202,0.0449458193186535,0.042658284687921,0.0471486304445442,-0.0149078479368896,1.01113652453302,-0.0148659892830644,0.985351992422524,1.01113652453302,Q4,0.483186152563139,0
football,penalty_goals,2227,0.0911039916470682,0.0679768954967843,0.082622361921868,0.0547822182308038,0.0787404344113471,0.746146181608848,0.216468458975154,1.27253774309522,1.340219952401,Q2,5.0290789450026e-25,1
football,shots,2227,24.0485965954867,19.9668763371689,13.2348450830714,10.724741805119,0.336855790501434,0.830271997698033,-0.262639046615781,0.79270249531818,1.20442457745479,Q3,1.87738004396125e-36,1
football,shots_inside_box,2227,14.3150794524925,11.8910088592545,8.47507858105074,6.90615177368657,0.278209945979562,0.830663140831124,-0.214470033296317,0.824028318389717,1.20385743732344,Q3,1.38608887365621e-24,1
football,shots_outside_box,2227,6.39100744719607,5.11769305158331,4.65334530758868,3.74045801526718,0.253993322684569,0.800764682855845,-0.123197130967502,0.890915600720127,1.24880632401719,Q3,5.45128811984581e-09,1
football,penalties,2227,0.118498731769822,0.0981154668406312,0.106421194431971,0.0781320161652447,0.0683591001852069,0.827987484551442,0.210325500345571,1.26484972413696,1.20774772403926,Q2,1.09881445507923e-23,1
football,big_chances,2227,1.38070627934308,1.07917613250111,1.10282891782667,0.896722047597665,0.130571855116725,0.781611664006168,-0.0130094651804435,0.987253220697895,1.27940772387464,Q3,0.539471577258781,0
football,corners,2227,8.58207670220615,6.64771805308608,5.59721598563089,4.52043107319264,0.246973393498228,0.774604828616503,-0.250166707873617,0.801191744020682,1.29098084992069,Q3,4.00123868019098e-33,1
football,free_kicks,2227,14.0827559023033,13.4745666090144,12.690166142793,12.5127974854064,0.0336883308496563,0.956813190720045,-0.00590825540041932,0.994127869279543,1.0451360931254,Q3,0.780503482939799,0
football,set_pieces,2227,64.008110460085,67.8074420319763,41.9636281993713,39.549169286035,0.201959720247169,1.05935703373498,-0.0843200673665704,0.922266717632227,1.05935703373498,Q4,6.77593864813705e-05,1
football,sp_goals,2227,0.266236351951122,0.219356819495763,0.271665918275707,0.229905702739111,0.0596471626644096,0.823917612633284,-0.00946749356768016,0.99066469787433,1.21371358576005,Q3,0.655206784524816,0
football,sp_xg,2227,0.0814995527120757,0.0649416906782425,0.2950684249304,0.238346595442299,0.143414937829942,0.796834933655042,-0.068629531622816,0.936163545726026,1.25496505959277,Q3,0.00119234021090466,1
football,sp_shots,2227,5.42975150596029,4.07747076938222,3.56039515042658,2.83924562191289,0.222366923311073,0.75094979298893,-0.107349983284024,0.903947845947902,1.33164694808664,Q3,3.81832621643652e-07,1
football,shots_on_target,2227,5.30201710527219,4.31858055046875,4.23664122137405,3.47328244274809,0.235833604045148,0.814516525451127,-0.0895092573582604,0.918239603040043,1.22772217475409,Q3,2.33523106297369e-05,1
football,np_shots_on_target,2227,5.19666423389175,4.17893967323354,4.13605747642568,3.39964077233947,0.230069483409271,0.804158107037051,-0.0933245087011909,0.91510309457582,1.24353655238836,Q3,1.02778682448059e-05,1
football,op_goals,2227,1.14681776498587,0.869214342801794,1.06061966771441,0.821284238886394,0.162757890212565,0.757935889502464,-0.0732848630362352,0.932325501948875,1.31937280428353,Q3,0.000537960386911569,1
football,op_xg,2227,0.344238765366104,0.277895269145482,0.922922648540637,0.755798705006735,0.199723357789875,0.807274767122567,-0.126194108791691,0.888514109025929,1.23873560865079,Q3,2.28965382191983e-09,1
football,op_shots,2227,16.570729400791,13.6794066611233,9.56802873821284,7.80736416704086,0.293065036926383,0.825516266077604,-0.194046240173268,0.838112081348487,1.21136316883427,Q3,2.46326645564788e-20,1
football,goals_from_counters,2227,0.152808927113984,0.136770364202141,0.145038167938931,0.131567130669062,0.0244885973346068,0.895041715070223,-0.0450461982795176,0.956958812024281,1.11726636106736,Q3,0.0335311464935349,1
football,xg_from_counters,2227,0.0388206475208624,0.0350764207389586,0.119713254984284,0.110589236012573,0.0332409055282351,0.903550635524777,-0.0195538219596668,0.980845359388293,1.10674483607574,Q3,0.356353088466632,0
football,passes,2227,15066.9312033037,13292.4912139708,480.090255949708,448.678940278401,0.147753462057415,0.882229502120257,-0.594839729018886,0.627480824334494,1.13349190612727,Q3,2.89106762332808e-213,1
football,successful_passes,2227,16341.9593181936,14022.6926533828,372.321059721599,342.605747642568,0.141667772714493,0.858079033263242,-0.450254473376791,0.690160100707782,1.16539381716045,Q3,1.28999570665061e-111,1
football,op_passes,2227,15122.0946405928,13182.1990615056,429.252806466098,398.784014369106,0.145927603413102,0.871717799339792,-0.541495042932528,0.649257159462196,1.14716024011138,Q3,6.68381897748893e-170,1
football,successful_op_passes,2227,15417.5584263376,13031.5102348011,335.940278401437,307.872474180512,0.139693247373175,0.845238258513073,-0.420532668988421,0.704696318839402,1.18309836300972,Q3,3.76033448660221e-96,1
football,passes_inside_box,2227,16.5331081301886,13.2201951787484,7.4099685675797,6.17961383026493,0.207424396793742,0.7996194711029,-0.18365476706839,0.845656847022604,1.25059485935319,Q3,2.40628220382793e-18,1
football,successful_passes_inside_box,2227,4.41853814837186,3.47822384030667,2.61427929950606,2.16748989672205,0.151232951376546,0.78718882207418,-0.106012662606513,0.904765800822638,1.27034324161906,Q3,5.32599307447047e-07,1
football,passes_into_box,2227,95.6482514077213,78.1495543341924,30.3664122137405,25.5415356982488,0.304375844179164,0.81705157369854,-0.448075360611732,0.691659345813348,1.22391294771431,Q3,1.98394822623513e-110,1
football,successful_passes_into_box,2227,20.7832813090669,16.6886378921438,10.2954647507858,8.45846430175123,0.257932438189825,0.802983785089952,-0.35576250981153,0.738753138524124,1.24535515980311,Q3,1.9664222999761e-67,1
