sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
football,np_xg,away,2023/2024+2024/2025,2,1114,0.923582370302974,3.53067315417045,0.939069016616924,0,1,0.0904201034797077,0,1,NotNormal
football,np_xg,diff,2023/2024+2024/2025,2,1114,0.124353232845852,3.52931360746378,0.996392934098624,0.0110378627459446,1,0.0207704377699027,0.321108076472883,0,Close
football,penalty_xg,home,2023/2024+2024/2025,2,1114,2.9259125844199,10.612140658619,0.342149679961082,0,1,0.529431992458384,0,1,NotNormal
football,penalty_xg,away,2023/2024+2024/2025,2,1114,3.86320679685622,17.8536257805402,0.267983985966473,0,1,0.536918349589334,0,1,NotNormal
football,penalty_xg,diff,2023/2024+2024/2025,2,1114,0.221066932060179,7.96977395098909,0.549610890231218,0,1,0.436848143956868,0,1,NotNormal
football,np_shots,home,2023/2024+2024/2025,2,1114,0.487707090156573,3.23233779109157,0.981974122840278,1.5785805995705e-10,1,0.0824114411592964,0,1,NotNormal
football,np_shots,away,2023/2024+2024/2025,2,1114,0.489456391234951,3.1727046846966,0.980641955498234,4.95887775286974e-11,1,0.0807069227647246,0,1,NotNormal
football,np_shots,diff,2023/2024+2024/2025,2,1114,0.0631637951704086,2.93609437512174,0.997191613680755,0.0478031405881534,1,0.0426767773127947,0,1,NotNormal
football,own_goals,home,2023/2024+2024/2025,2,1114,4.67884473228145,24.5516289127918,0.207049941039264,0,1,0.540070313251367,0,1,NotNormal
football,own_goals,away,2023/2024+2024/2025,2,1114,4.29791125333369,19.4720411415324,0.21405036801544,0,1,0.540844935606193,0,1,NotNormal
football,own_goals,diff,2023/2024+2024/2025,2,1114,0.147406099732855,12.2106056809192,0.397261744718713,0,1,0.456584990887806,0,1,NotNormal
football,penalty_goals,home,2023/2024+2024/2025,2,1114,3.51417975849458,14.9122384005063,0.29260746543491,0,1,0.535093965897602,0,1,NotNormal
football,penalty_goals,away,2023/2024+2024/2025,2,1114,4.7399619972416,26.0444209650136,0.212397968238779,0,1,0.539352240965,0,1,NotNormal
football,penalty_goals,diff,2023/2024+2024/2025,2,1114,0.524824506894245,10.8967101180269,0.46360679715507,0,1,0.461221555398353,0,1,NotNormal
football,shots,home,2023/2024+2024/2025,2,1114,0.49404453782829,3.24045219539392,0.981302724642844,8.75001182620849e-11,1,0.0842462116559967,0,1,NotNormal
football,shots,away,2023/2024+2024/2025,2,1114,0.477410811948857,3.12824140325967,0.98115167439214,7.67632624132375e-11,1,0.080666062116192,0,1,NotNormal
