sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
football,op_shots,home,2023/2024+2024/2025,2,1114,0.479066539584859,2.99728668569932,0.97893567626983,1.20859988683719e-11,1,0.0867023854277209,0,1,NotNormal
football,op_shots,away,2023/2024+2024/2025,2,1114,0.60151964283109,3.16803639117779,0.968442926558244,7.7715611723761e-15,1,0.107548592880128,0,1,NotNormal
football,op_shots,diff,2023/2024+2024/2025,2,1114,0.071790886972377,2.84437683744691,0.995852046813966,0.00418727322409562,1,0.0434818868905437,0,1,NotNormal
football,passes,home,2023/2024+2024/2025,2,1114,0.336001734129113,2.85490710268216,0.99078006554808,1.88846350246408e-06,1,0.0395384004629795,0,1,NotNormal
football,passes,away,2023/2024+2024/2025,2,1114,0.477140221195079,3.26026022110892,0.984545405985184,1.73077130405375e-09,1,0.0482772787074471,0,1,NotNormal
football,passes,diff,2023/2024+2024/2025,2,1114,-0.0797117957389141,2.85530825191248,0.997783450272448,0.140537802375952,0,0.0271422706396076,0.049,1,Close
football,successful_passes,home,2023/2024+2024/2025,2,1114,0.379891497123804,2.89166649730371,0.988064715821686,6.99668608605819e-08,1,0.0400141776531294,0,1,NotNormal
football,successful_passes,away,2023/2024+2024/2025,2,1114,0.530434856876732,3.38334550700033,0.981357730586488,9.17876885608848e-11,1,0.0527638049897325,0,1,NotNormal
football,successful_passes,diff,2023/2024+2024/2025,2,1114,-0.0810959016033822,2.87434844775888,0.997755766842623,0.133762904902877,0,0.0241596546185799,0.117206982543641,0,Normal
football,op_passes,home,2023/2024+2024/2025,2,1114,0.379916759784105,2.9044483971088,0.988938616910563,1.92522868980305e-07,1,0.0442079643842052,0,1,NotNormal
football,op_passes,away,2023/2024+2024/2025,2,1114,0.514003628464916,3.34867694921337,0.982462789627918,2.4464830161719e-10,1,0.0497285964867608,0,1,NotNormal
football,op_passes,diff,2023/2024+2024/2025,2,1114,-0.0711453853414043,2.88171942875954,0.997844399083,0.156593904488787,0,0.026797332419359,0.056,0,Normal
football,successful_op_passes,home,2023/2024+2024/2025,2,1114,0.453533243853308,2.99149144294083,0.984438967696111,1.56021229269498e-09,1,0.0466996353814337,0,1,NotNormal
