scenario,kappa,rho,delta_ratio,delta,sigma_a,eta,var_x,Ixy,bayes_acc,quadrant,kappa_hat_mean,rho_hat_mean,eta_hat_mean,acc_A_mean,acc_A_std,acc_R_mean,acc_R_std,acc_AB_mean,acc_AB_std,acc_impr_pct_mean,acc_impr_pct_std
,1.2,-0.15,2,2,1,0.870035127661281,2.5286335345031,0.166215911304505,0.735281103394641,Q4,1.19738629866885,-0.150161617210169,0.870017425242488,0.82122,0.00622191649718632,0.847592,0.00504234477364713,0.847708,0.00488449608872977,3.21355964421866,0.486361047861332
,1.2,0,0.3,0.3,1,1,2.2,0.00468571211181634,0.540276360029341,boundary,1.19983776319764,-0.000418295366351195,0.999888905161436,0.664976,0.00712943195493161,0.752776,0.00648459902305424,0.752752,0.00662309626093662,13.2132048085145,1.31075989434603
,1.2,0,0.5,0.5,1,1,2.2,0.0129622785172149,0.566924680500894,boundary,1.20343388932511,-0.00142437102243117,0.998795241845498,0.675072,0.00653240087750972,0.759116,0.00577327975969236,0.758884,0.00609972766203708,12.4564104018595,1.04966209868106
,1.2,0,1,1,1,1,2.2,0.0508597327934026,0.631979215366961,boundary,1.19916414691306,0.000525452166934247,1.00070770235092,0.71524,0.00782857142857143,0.78278,0.00614508265333563,0.7827,0.00625032244066215,9.45069668439119,1.0156357766147
,1.2,0,2,2,1,1,2.2,0.188575887917983,0.749907871464603,boundary,1.20015985561107,0.00461444790021942,1.00486011655988,0.83304,0.00475557674778587,0.857956,0.00411811131665069,0.85794,0.0040303440882123,2.99309120966987,0.586086655805979
,1.2,0.4,0.3,0.3,1,1.66207843870781,1.32364390799173,0.00777605919904278,0.551866475981952,Q1,1.20317371969089,0.398494590783614,1.65839645663939,0.625492,0.00623527948083177,0.754196,0.00650130159652508,0.75384,0.00649219311393087,20.5844684347512,1.27011429520347
,1.2,0.4,0.5,0.5,1,1.66207843870781,1.32364390799173,0.0214526917618318,0.586011688157612,Q1,1.20291156535769,0.400327882990621,1.66341547284307,0.650284,0.00823542274295024,0.76442,0.00692952865258083,0.764364,0.00687636472540067,17.5654789916651,1.49292345765293
,1.2,0.4,1,1,1,1.66207843870781,1.32364390799173,0.083115588907509,0.66807167720551,Q1,1.19922604531332,0.399653307282403,1.6617020933551,0.733212,0.00675028767338619,0.802232,0.00562710060550635,0.801888,0.00565875301760782,9.41783178046996,0.754919524576679
,1.2,0.4,2,2,1,1.66207843870781,1.32364390799173,0.293593255244952,0.807628225717456,Q1,1.19922097126554,0.401421188796541,1.66675989144717,0.891924,0.00433286255946155,0.903596,0.00399989591701318,0.903544,0.00406880416669798,1.30943188309892,0.352890984566463
,2,-0.3,0.3,0.3,1,0.779518790788458,3.84852813742386,0.00268124000749603,0.530474106490009,Q4,1.99827497624702,-0.300962024446137,0.779007748176642,0.67532,0.00728476184250664,0.752476,0.0063982000019776,0.752532,0.00629552610824479,11.433415470478,1.15846834428984
,2,-0.3,0.5,0.5,1,0.779518790788458,3.84852813742386,0.00743033379231228,0.550702400898114,Q4,2.00063271540512,-0.298597897553459,0.780419910935268,0.677868,0.00708025250328011,0.752988,0.0051399055021886,0.752872,0.00520749224773346,11.0901190056628,1.05654004557942
,2,-0.3,1,1,1,0.779518790788458,3.84852813742386,0.0293950748383418,0.600589141882279,Q4,2.00155864824668,-0.299261990640783,0.780023756131373,0.703504,0.00625658705946406,0.770792,0.0064320574675065,0.77084,0.0066136531632121,9.56911892172517,0.936033994413917
,2,-0.3,2,2,1,0.779518790788458,3.84852813742386,0.112545922504963,0.694884812373479,Q4,2.00147694467476,-0.303375472165964,0.777688957142591,0.781976,0.00571409142526846,0.820584,0.00589456200446563,0.82074,0.00585891959114564,4.93869342158041,0.541729895472154
,2,-0.15,0.3,0.3,1,0.876100656900705,3.42426406871193,0.00301294814276787,0.532302958666059,Q4,2.00444945887086,-0.151378020532771,0.875241863034506,0.656832,0.00712241188224946,0.752164,0.00555972250078314,0.752076,0.00597038815269808,14.5237692029565,1.21913971871893
,2,-0.15,0.5,0.5,1,0.876100656900705,3.42426406871193,0.00834713474245397,0.553733722223991,Q4,2.00184426836026,-0.148702409210673,0.877193098355327,0.664492,0.00619917176824815,0.755932,0.00632076073954161,0.755772,0.00606791629501144,13.7668022714086,1.0744018265427
,2,-0.15,1,1,1,0.876100656900705,3.42426406871193,0.0329770423525717,0.606497051402598,Q4,2.01325764462517,-0.152057942237858,0.874862802225355,0.695588,0.00586576508223778,0.773416,0.00501716889026765,0.773424,0.00486329694167005,11.1934649136019,0.836274634478178
,2,-0.15,2,2,1,0.876100656900705,3.42426406871193,0.125586753999019,0.705539840188391,Q4,2.00698391289307,-0.152662565297767,0.874324882214976,0.78666,0.00645350719392493,0.82684,0.00565772002827706,0.827108,0.00555495145921958,5.11027408530282,0.575659642944373
,2,0,0.3,0.3,1,1,3,0.00343831764047564,0.534506276720216,boundary,1.99760823135386,0.00371273124804094,1.00366660987953,0.637848,0.00714029211087133,0.752536,0.00540618542193353,0.752392,0.00532578785970025,17.9918533030764,1.30947048305232
