kpi,n,acc_abs,acc_rel,acc_improvement,auc_abs,auc_rel,auc_improvement,sport
goalkeeper_long_balls,1114,0.557450628366248,0.555655296229802,-0.322061191626406,0.530489154493139,0.547515819076635,3.20961596279276,football
goalkeeper_passes,1114,0.541292639138241,0.546678635547576,0.995024875621902,0.454889591958962,0.470858396479442,3.51047920259313,football
crosses,1114,0.572710951526032,0.567324955116697,-0.940438871473365,0.587623362758118,0.579437153347395,-1.39310482352157,football
successful_crosses,1114,0.549371633752244,0.545780969479354,-0.653594771241824,0.445915683670547,0.457594458766242,2.61905457093638,football
dribbles,1114,0.535906642728905,0.535008976660682,-0.167504187604689,0.418554540009895,0.454739864073119,8.64530678901936,football
successful_dribbles,1114,0.543087971274686,0.549371633752244,1.15702479338844,0.433198578236075,0.430607634820196,-0.598096010940057,football
carries,1114,0.547576301615799,0.536804308797127,-1.9672131147541,0.420784183527329,0.471698174621774,12.0997872751885,football
carries_into_final_third,1114,0.540394973070018,0.549371633752244,1.66112956810632,0.481703903340885,0.457350337213239,-5.05571284740287,football
carries_into_box,1114,0.55475763016158,0.577199281867145,4.0453074433657,0.577194490013801,0.600822201390516,4.09354416674184,football
progressive_carries,1114,0.545780969479354,0.546678635547576,0.164473684210525,0.500520792646408,0.535137228862329,6.91608355227221,football
deep_progressions,1114,0.543985637342908,0.540394973070018,-0.660066006600654,0.525193344269979,0.510949665390725,-2.71208289949922,football
box_entries,1114,0.543985637342908,0.550269299820467,1.15511551155117,0.520382522198787,0.538027628049892,3.39079525126036,football
tackles,1114,0.550269299820467,0.536804308797127,-2.44698205546493,0.484125589146681,0.481710413248965,-0.49887383601708,football
successful_tackles,1114,0.557450628366248,0.543985637342908,-2.41545893719807,0.48538525636018,0.503114991016327,3.65271388527514,football
ball_recoveries,1114,0.549371633752244,0.547576301615799,-0.326797385620912,0.459859906778116,0.457268963362237,-0.563420158550394,football
regains,1114,0.549371633752244,0.531418312387792,-3.26797385620916,0.477290185662578,0.497588079056324,4.25273638626523,football
regains_opposition_half,1114,0.548473967684022,0.550269299820467,0.327332242225856,0.48334765513111,0.486853240632242,0.72527206120029,football
tackle_interceptions_opposition_half,1114,0.530520646319569,0.542190305206463,2.19966159052454,0.494407988959196,0.49669947660339,0.463481111827984,football
blocks,1114,0.552064631956912,0.545780969479354,-1.13821138211381,0.475014972788584,0.52794378043382,11.1425556408289,football
pressures,1114,0.546678635547576,0.549371633752244,0.492610837438419,0.458893185428222,0.476525271463167,3.84230722853109,football
pressures_opposition_half,1114,0.545780969479354,0.549371633752244,0.6578947368421,0.439125849543004,0.441013722886233,0.429916240456609,football
counterpressures,1114,0.546678635547576,0.53411131059246,-2.29885057471264,0.443806473452595,0.482579485977658,8.73646844838208,football
counterpressures_opposition_half,1114,0.543985637342908,0.544883303411131,0.165016501650184,0.443773923912194,0.478885113142202,7.91195411404009,football
yellow_cards,1114,0.553859964093357,0.543087971274686,-1.94489465153971,0.468286982787803,0.511102648230607,9.14303984875127,football
second_yellow_cards,1114,0.549371633752244,0.55834829443447,1.63398692810458,0.462382496159154,0.477283675754498,3.22269543486678,football
red_cards,1114,0.549371633752244,0.557450628366248,1.4705882352941,0.463957893914538,0.47804208004583,3.03566041574589,football
fouls,1114,0.544883303411131,0.533213644524237,-2.14168039538715,0.509712782855506,0.505077728302476,-0.909346343457047,football
obv,1114,0.68850987432675,0.737881508078995,7.17079530638853,0.756386219826576,0.812462568028539,7.41371890868405,football
on_ball_obv,1114,0.591561938958707,0.614003590664273,3.79362670713202,0.616524099679713,0.632632867223915,2.61283663567585,football
defensive_obv,1114,0.552962298025135,0.560143626570916,1.29870129870131,0.517687420253626,0.528917011691795,2.169183758158,football
obv_from_passes,1114,0.565529622980251,0.58886894075404,4.12698412698413,0.576556519021951,0.595034893107309,3.20495449721112,football
obv_from_carries,1114,0.5754039497307,0.585278276481149,1.71606864274571,0.578903340884827,0.599018956852329,3.47477973382511,football
obv_from_dribbles,1114,0.548473967684022,0.547576301615799,-0.163666121112928,0.422916178423561,0.41823555451397,-1.10674978834757,football
obv_from_dribble_carry,1114,0.583482944344704,0.579892280071813,-0.615384615384629,0.580791214228055,0.600314428560269,3.36148582381059,football
