sport,kpi,n,var_home,var_away,mean_home,mean_away,cohens_d_paired,kappa,rho,eta,kappa_abs,quadrant,p_rho,sig_rho,tau,abs_tau,psi,cos_sigma,sigma,sphere_x,sphere_y,sphere_z,eta_from_sigma,eta_sigma_residual
football,successful_passes_in_own_third,1114,1890.67465452358,1855.50969285787,118.1921005386,118.106822262118,0.00131036913090524,0.981400839334481,-0.130583353599425,0.884503637473288,1.01895164536249,Q3,1.22958891077297e-05,1,-0.00938715004235873,0.00938715004235873,-0.756887585019762,-0.130577600400428,1.70174787265102,-0.130577600400428,0.991393653834883,-0.00938687432461456,0.884503637473288,-1.11022302462516e-16
football,forward_passes,1114,287.243112651042,303.427655212351,116.566427289048,114.052064631957,0.11753685096838,1.05634440600485,0.225333406517784,1.2907369542934,1.05634440600485,Q1,2.73010607417974e-14,1,0.0274071370806815,0.0274071370806815,1.03199207659657,0.225248803271898,1.34359793230298,0.225248803271898,0.973915910874044,0.0274002768409412,1.2907369542934,2.22044604925031e-16
football,sideways_passes,1114,11713.4145184784,9543.06162118653,332.881508078995,298.433572710952,0.187606962075081,0.814712192258882,-0.589203603556241,0.630467604834774,1.22742731666674,Q3,4.36539056046101e-105,1,-0.102460183220979,0.102460183220979,-2.01915670134201,-0.586124318412949,2.19706335777412,-0.586124318412948,0.803761925424305,-0.102103137087804,0.630467604834774,0
football,backward_passes,1114,296.676709557845,258.01098814242,51.4308797127469,47.3052064631957,0.15378946477953,0.869670519559656,-0.298167296246297,0.770747361183746,1.14986075474461,Q3,2.61911281667673e-24,1,-0.0698204261066322,0.0698204261066322,-1.223570146836,-0.297442002868693,1.87280859769805,-0.297442002868693,0.952191767671072,-0.0697071912280243,0.770747361183746,1.11022302462516e-16
football,forward_passes_in_final_third,1114,131.072198806015,114.516653197643,46.3913824057451,42.189407540395,0.263059770077704,0.873691402454656,-0.0390261718566084,0.962521902542331,1.14456889147642,Q3,0.193054545835354,0,-0.0675140260563076,0.0675140260563076,-0.399896553939445,-0.0389373970178515,1.6097435694983,-0.0389373970178514,0.996965170316035,-0.0674116331963055,0.962521902542331,0
football,sideways_passes_in_final_third,1114,1846.50484239629,1141.29032682142,107.920107719928,86.8447037701975,0.3079242583325,0.618081415557145,-0.584393147766732,0.637803376371611,1.617909833284,Q3,5.28105272527279e-103,1,-0.240567544908859,0.240567544908859,-1.96237270076113,-0.567881320555065,2.17472589788583,-0.567881320555065,0.788542845912625,-0.236031747704951,0.637803376371611,-1.11022302462516e-16
football,backward_passes_in_final_third,1114,74.2059365326701,50.1990512000336,16.9416517055655,13.7414721723519,0.248493517921178,0.67648295467483,-0.339537330821286,0.750100119926051,1.47823384623294,Q3,1.85132295772062e-31,1,-0.195424014015221,0.195424014015221,-1.31649552450188,-0.333155366111108,1.91044447980178,-0.333155366111108,0.922913143282249,-0.192973656202737,0.750100119926051,0
football,deep_completions,1114,7.52640735166734,6.19731313141089,3.99012567324955,3.16786355475763,0.20499760051324,0.823409209978248,-0.173147329967635,0.852999651497099,1.21446297646636,Q3,6.00660102352085e-09,1,-0.0971509922030908,0.0971509922030908,-0.883588547022221,-0.172333421525907,1.74399437032346,-0.172333421525907,0.980266263995974,-0.0968464944979949,0.852999651497099,0
football,long_balls,1114,153.945739997839,140.212943651089,67.165170556553,65.2396768402154,0.128196451343147,0.910794567313509,0.233333587240065,1.30391556320592,1.09794242948727,Q2,3.06377673507404e-15,1,-0.0467189547758837,0.0467189547758837,1.05321281420248,0.233079174589104,1.33555345536743,0.233079174589104,0.971336506942376,-0.0466849938828899,1.30391556320592,-2.22044604925031e-16
football,successful_long_balls,1114,74.6675280389586,65.1691015757951,32.2010771992819,29.2692998204668,0.23086594581945,0.872790398816906,-0.153598947054151,0.867119038538231,1.14575045893668,Q3,2.58467380467704e-07,1,-0.0680299224813535,0.0680299224813535,-0.827056042506646,-0.153244197804464,1.72464674534576,-0.153244197804464,0.985851098028843,-0.0679251673136813,0.86711903853823,1.11022302462516e-16
football,goalkeeper_long_balls,1114,69.735800664902,69.8037176118372,16.7253141831239,18.8985637342908,-0.165137977523015,1.00097391793437,-0.241160841090689,0.805697368067314,1.00097391793437,Q4,3.3269034574061e-16,1,0.000486721991999811,0.000486721991999811,-1.0749684792585,-0.241160812525395,1.81435811608958,-0.241160812525395,0.970485046563743,0.000486721953565277,0.805697368067314,1.11022302462516e-16
football,goalkeeper_passes,1114,104.116389301563,92.1279420138368,36.7728904847397,38.3725314183124,-0.115788873285746,0.884855329999944,0.0274961972939264,1.02821931733656,1.13012824367579,Q2,0.359208834147113,0,-0.0611655581316627,0.0611655581316627,0.334411710313579,0.0274448426135982,1.54334803768173,0.0274448426135982,0.997754913065991,-0.0610893940597866,1.02821931733656,0
football,crosses,1114,30.2144115327104,21.0272598521472,12.8788150807899,9.96140035906643,0.347476967498194,0.695934780307832,-0.381879267913184,0.72690723600403,1.43691625752297,Q3,5.40438799761412e-40,1,-0.181249664746353,0.181249664746353,-1.42722347360707,-0.375691354370361,1.95593899152173,-0.375691354370361,0.909236424312085,-0.179290632648607,0.72690723600403,0
football,successful_crosses,1114,5.00687968693795,3.57817921382841,3.6983842010772,2.7935368043088,0.280766717862971,0.714652525636524,-0.212774207495085,0.826578009315917,1.39928141876967,Q3,7.17593382493279e-13,1,-0.167979416272255,0.167979416272255,-0.989674178619418,-0.209807167296415,1.78217406005491,-0.209807167296415,0.963476157730415,-0.166417084567934,0.826578009315917,-1.11022302462516e-16
football,dribbles,1114,23.6986293856996,24.6613693883773,13.2567324955117,12.4811490125673,0.113435673898051,1.04062429041819,0.0333515883382322,1.03449522115652,1.04062429041819,Q1,0.266042017015053,0,0.0199104061530096,0.0199104061530096,0.369354682002061,0.0333449787404055,1.53744516564919,0.0333449787404054,0.999245611881398,0.0199077755807086,1.03449522115652,0
football,successful_dribbles,1114,9.73021948862876,10.103709869165,6.72172351885099,6.21723518850987,0.115815691260019,1.03838457919399,0.0433453409672084,1.04530088943357,1.03838457919399,Q1,0.14823972846875,0,0.0188331081561718,0.0188331081561718,0.42252996768667,0.0433376551110755,1.52744509441914,0.0433376551110755,0.99888299892324,0.0188308818589927,1.04530088943357,0
