gene_id,correlation,kappa,pef,normal_var,tumor_var,diff_var,var_reduction,mean_normal,mean_early_neoplasia,mean_difference
ITGA11,0.5786175597971137,4.530272877186337,1.8030580315369134,29.47394880242662,133.52503084321202,90.40140516536759,0.4453866805675648,21.92341006809524,28.028710894857145,6.105300826761904
BSPRY,0.6862563004282795,1.2347408359350789,3.1492076671603324,217.10154608290347,268.06414449320226,154.05960541610895,0.682459810311046,43.9187662752381,55.84918516238095,11.930418887142856
LRRC26,0.5348205594466157,0.904434501166893,2.1465988495080537,333.2919694576146,301.440756139329,295.6922881713127,0.5341467735207371,45.623250096190475,49.175886225238095,3.552636129047617
IFITM2,0.8048160761418284,0.8511859442822044,5.0559024959687155,736.2497959155904,626.6854777639921,269.57309298711925,0.8022113755561262,66.21084680761903,64.00679514142857,-2.2040516661904763
MYADM,0.6368386934826225,0.4216241394486594,2.390922113523998,295.37064048049706,124.53539211098894,175.62514070045694,0.5817513275135121,54.148452018095234,49.705900972380945,-4.442551045714287
TNFRSF12A,0.5099836463443558,0.4696327443394754,1.907000065912152,401.070875779805,188.35601606710665,309.0859315544797,0.4756161691469673,44.88680228952381,47.8667171552381,2.979914865714286
SORBS3,0.49237276681407666,1.7839399564226728,1.8955487422749395,312.1733679253878,556.8985443731353,458.4803824435071,0.4724482796470579,96.42870709190476,102.16918954142858,5.7404824495238085
ISLR,0.5641210512249699,0.7492754203367691,2.2639617829373195,566.989118644405,424.8310101986608,438.09049088993646,0.5582964308246513,69.27953563190476,59.437642284761914,-9.84189334714286
HMG20B,0.6743725656100572,0.996258682361509,3.0709831458350396,347.7277135434513,346.42675371537905,226.03656037652422,0.6743713812443972,77.3291977647619,83.41533391904761,6.086136154285713
CREB3L1,0.7199709966477498,1.329537650900292,3.4810565270559435,170.36092655186025,226.50126609295745,114.00624768953651,0.7127308929838791,43.44966323047619,44.66062422571428,1.2109609952380938
SEPW1,0.7592953629771516,0.7870491951303059,4.063143288552023,997.8909585947903,785.3892757898391,438.8917908480001,0.7538851256322863,111.7540226095238,115.40981119190477,3.655788582380952
SEC14L2,0.5453322080511985,1.4495189153393324,2.155502107880281,221.71764797066945,321.3839245980327,251.96058523124702,0.5360709709611933,44.24114766095238,61.37739364428572,17.136245983333335
PTBP1,0.7674451705351449,0.7975077495061198,4.2115908251343335,387.64035568789757,309.146187682407,165.44497609120884,0.7625600298034404,96.2613756704762,100.7591190995238,4.4977434290476195
C22orf36,0.6395229056854507,2.4223050777073594,2.3904965770564766,75.31104336872457,182.42632275950066,107.81750059880389,0.5816768743374048,50.240123361904764,62.73741124952382,12.497287887619047
GAS7,0.4504364464304247,0.920079248464123,1.8183341612140285,99.75476053978664,91.78228510816545,105.33654909726303,0.4500460799062696,45.14996351952381,41.03039594714286,-4.119567572380951
RPL31,0.8197882151566351,0.5667567073201976,4.713037420852483,454.85138755580755,257.7900747311526,151.20640865992945,0.7878226055291699,53.839501560952385,49.81602350666667,-4.023478054285712
RNASE1,0.23708973856503493,0.30680223237972404,1.2515398704720655,834.9110703705692,256.1525802282355,871.7769815733225,0.20098430454092367,56.15379916285714,40.058230367619046,-16.095568795238098
C9orf16,0.7745344663556324,1.0116305989229764,4.435013059186947,451.6522541620231,456.9052403828398,204.86016217310208,0.7745215207588755,83.20975447333333,88.10931592714286,4.899561453809525
LRP10,0.843338184188677,0.831404435211434,6.240524793911278,476.0630816037968,395.8009574858195,139.71005129893425,0.8397570664288244,72.17723001809523,72.3690183057143,0.1917882876190489
RALY,0.8048134585485348,1.3358469243084115,4.912827854963063,371.32528095353985,496.033734479743,176.5498488934545,0.7964512436580136,99.70295426666668,106.26394170142859,6.5609874347619055
LAMB3,0.6922169127356845,1.5588293814925913,3.081735165010269,235.11191207019587,366.49935647392397,195.21835470314167,0.6755074831368038,53.54334108952381,55.91258289714286,2.3692418076190473
H3F3B,0.5179608051499676,0.3580142037787411,1.8396842223799819,431.0938669824329,154.33772754161424,318.22395789570885,0.45642845232085005,57.26346506857143,47.54316637380953,-9.720298694761905
C11orf96,-0.1383114047989181,0.43960467480981563,0.8869951378037442,265.9480257831341,116.91199539070712,431.63711372964997,-0.12740189588419062,36.87213467380952,27.09949558809523,-9.772639085714285
